file	mn	ste
pm-L5-s2_S5	5.16088999959657	0.00314677111836796
pm-N12-t3_S4	5.17606256383353	0.00334407598979533
pm-L5-s3_S1	5.32318038907046	0.00386781954661995
pm-N12-t1_S8	5.47757682148545	0.00343076914473068
pm-N12-s3_S3	5.56390104949087	0.00372896871838529
pm-L5-t1_S6	5.72917367756663	0.00357718201918788
pm-N12-s2_S7	5.90474341100343	0.00325715467228457
pm-L5-t3_S2	6.21858977380981	0.00357340629555061
overall	5.58175961337957	0.00123959227291789
